,Set,Layer_name,Sample_id,Cardinality,Pattern,IOU,Golden_num_boxes,Faulty_num_boxes,Precision,Recall,F1_score,True_positives,False_positives,False_negatives,Error
176,valid,batch_normalization_5,4,32.0,1004.0,0.9918400645256042,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
177,valid,batch_normalization_5,4,32.0,1004.0,0.9898107051849365,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
178,valid,batch_normalization_5,4,32.0,1004.0,0.9913793206214905,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
179,valid,batch_normalization_5,4,32.0,1004.0,0.993645966053009,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
180,valid,batch_normalization_5,4,32.0,1004.0,0.9885132908821106,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
181,valid,batch_normalization_5,4,32.0,1004.0,0.4866519570350647,2.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.0,1.0,
182,valid,batch_normalization_5,4,32.0,1004.0,0.9851990938186646,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
183,valid,batch_normalization_5,4,32.0,1004.0,0.9902690649032593,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
184,valid,batch_normalization_5,4,32.0,1004.0,0.9799513220787048,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
185,valid,batch_normalization_5,4,32.0,1004.0,0.9853845834732056,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
186,valid,batch_normalization_5,4,32.0,1004.0,0.9923821687698364,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
187,valid,batch_normalization_5,4,32.0,1004.0,0.9900009036064148,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
188,valid,batch_normalization_5,4,32.0,1004.0,0.990712583065033,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
189,valid,batch_normalization_5,4,32.0,1004.0,0.9924185276031494,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
190,valid,batch_normalization_5,4,32.0,1004.0,0.9829599261283875,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
191,valid,batch_normalization_5,4,32.0,1004.0,0.987883985042572,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
192,valid,batch_normalization_5,4,32.0,1004.0,0.9899666905403137,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
193,valid,batch_normalization_5,4,32.0,1004.0,0.9799513220787048,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
194,valid,batch_normalization_5,4,32.0,1004.0,0.9861111640930176,2.0,4.0,0.5,1.0,0.6666666666666666,2.0,2.0,0.0,
195,valid,batch_normalization_5,4,32.0,1004.0,0.9918400645256042,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
196,valid,batch_normalization_5,4,32.0,1004.0,0.9794598817825317,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
197,valid,batch_normalization_5,4,32.0,1004.0,0.9890557527542114,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,
198,valid,batch_normalization_5,4,32.0,1004.0,0.9853402972221375,2.0,4.0,0.5,1.0,0.6666666666666666,2.0,2.0,0.0,
